status,abbreviation,title,first_submitted_utc,last_updated_utc,version,relevance,source_status,connection_to_project,claim_boundary,url,reviewed_on
기존 조사 누락 보완,When More Experts Hurt,When More Experts Hurt: Underfitting in Multi-Expert Learning to Defer,2026-02-19T07:45:18Z,2026-02-19T07:45:18Z,1,중간,Preprint metadata checked,multi-expert deferral 목적의 underfitting 문제와 PiCCE 제안.,공동 학습 classifier의 결과를 frozen TabPFN에 그대로 적용하지 않음.,https://arxiv.org/abs/2602.17144,2026-09-09
이론 보완,Learn then Test,Learn then Test: Calibrating Predictive Algorithms to Achieve Risk Control,2021-10-03T17:42:03Z,2022-09-29T23:51:57Z,5,높음,Primary paper,보정 정책의 위험 통제를 다중 가설 검정으로 설계.,고정 후보 정책과 표본 가정 필요. 시간 상관 데이터에 iid 보장을 그대로 붙이지 않음.,https://arxiv.org/abs/2110.01052,2026-09-09
이론 보완,Beyond exchangeability,Conformal prediction beyond exchangeability,2022-02-27T18:18:43Z,2023-03-17T01:33:59Z,5,높음,Annals of Statistics 2023,시간 이동 아래 conformal coverage 손실과 가중 보정의 조건을 다룸.,임의 concept drift에 대해 무조건적 finite-sample 보장을 주지 않음.,https://arxiv.org/abs/2202.13415,2026-09-09
기존 조사 재검토,BAPS,Balanced Adaptive Prototype Selection for Scalable TabPFN Inference on Large-Scale Tabular Data,2026-08-13T09:12:02Z,2026-08-13T09:12:02Z,1,높음,Preprint,class balance·대표성·경계·밀도·다양성의 context 구성. 가장 직접적인 구성 baseline.,512 prototype 중심; IDS multi-class·충돌·시간 분할과 차이.,https://arxiv.org/abs/2608.12989,2026-09-09
기존 조사 재검토,CRUMB,CRUMB: Efficient Prior Fitted Network Inference via Distributionally Matched Context Batching,2026-06-09T22:07:04Z,2026-06-09T22:07:04Z,1,높음,Preprint,query clustering + MMD 기반 context matching + batch 공유.,test X를 묶는 transductive batch 설정. X matching만으로 tail label 피복은 보장되지 않음.,https://arxiv.org/abs/2606.11473,2026-09-09
기존 조사 재검토,MixturePFN,Mixture of In-Context Prompters for Tabular PFNs,2024-05-25T09:47:59Z,2024-05-25T09:47:59Z,1,매우 높음,ICLR 2025 (기존 서베이),local context bank·nearest-centroid routing·배포 검색에 맞춘 adaptation.,context expert bank 자체의 신규성을 주장하기 어려운 직접 선행연구.,https://arxiv.org/abs/2405.16156,2026-09-09
기존 조사 재검토,Context sampling,Understanding Context Sampling in TabPFN on Small Tabular Datasets,2026-07-29T08:54:45Z,2026-07-29T08:54:45Z,1,높음,Preprint,context 크기·random draw·coverage·선택 비용을 비교.,15개 small OpenML; 큰 context가 모든 IDS에서 더 낫다는 정리가 아님.,https://arxiv.org/abs/2607.26628,2026-09-09
기존 조사 재검토,Spurious routing,Entangled by Design: Spurious Intra-Variable Signal Routing in Tabular In-Context Learners,2026-07-28T10:17:59Z,2026-07-28T10:17:59Z,1,높음,Preprint,"합성 composite feature 환경에서 spurious signal과 context 크기 상호작용, environment 구성 완화책.","정리는 ridge ICL, TabPFN은 경험적 증거. expert 선택 routing과 용어를 구별.",https://arxiv.org/abs/2607.25532,2026-09-09
기존 조사 재검토,PFN imbalance,Correcting Class Imbalance in Prior-Data Fitted Networks for Tabular Classification,2026-05-20T21:10:54Z,2026-05-20T21:10:54Z,1,높음,IEEE ITW 2026 (기존 서베이),binary imbalance에서 threshold·sampling·calibration 분리 비교.,다중클래스 macro-F1와 동일한 목표는 아님. threshold baseline 필요성을 뒷받침.,https://arxiv.org/abs/2605.21742,2026-09-09
기존 조사 재검토,DistPFN,Mitigating Label Shift in Tabular In-Context Learning via Test-Time Posterior Adjustment,2026-05-06T00:01:47Z,2026-05-24T03:30:57Z,2,높음,ICML 2026 (기존 서베이),label-shift posterior adjustment; local repro 0907~0908 기록과 함께 비교.,우리 latest n=4에서 tail 이득 없음; n별 효과와 지표 차이를 구별.,https://arxiv.org/abs/2605.04363,2026-09-09
기존 조사 재검토,LoCalPFN,Retrieval & Fine-Tuning for In-Context Tabular Models,2024-06-07T18:43:33Z,2024-06-07T18:43:33Z,1,높음,NeurIPS 2024 (기존 서베이),retrieval 및 검색 배포 조건에 맞춘 fine-tuning.,"local 재현은 v1, ours는 v3이므로 wrapper 기여를 분리하려면 같은 backbone 필요.",https://arxiv.org/abs/2406.05207,2026-09-09
기존 조사 재검토,TuneTables,TuneTables: Context Optimization for Scalable Prior-Data Fitted Networks,2024-02-17T00:02:23Z,2024-10-21T16:48:06Z,3,중간,NeurIPS 2024 (기존 서베이),context 최적화·압축을 통한 PFN 확장.,context 최적화라는 포괄적 주장 자체는 신규성이 낮음.,https://arxiv.org/abs/2402.11137,2026-09-09
기존 조사 재검토,TabPFN-3,TabPFN-3: Technical Report,2026-05-13T18:01:43Z,2026-05-28T17:22:15Z,2,높음,Technical report / preprint,현 backbone은 1M rows까지 확장. 버전별 context 제약을 구분.,실용적인 비용·정확도 optimum은 물리적 최대 길이와 다름.,https://arxiv.org/abs/2605.13986,2026-09-09
