arm,cls,train_time_bin,rows
full_natural,password,4,570
full_natural,password,5,559
full_natural,password,6,583
full_natural,password,7,570
full_natural,password,8,604
full_natural,password,9,612
full_natural,ransomware,0,2
full_natural,ransomware,1,3
full_natural,ransomware,2,1
full_natural,ransomware,4,3
full_natural,ransomware,6,1
full_natural,ransomware,7,3
full_natural,ransomware,9,1
full_natural,scanning,0,479
full_natural,scanning,1,490
full_natural,scanning,2,484
full_natural,scanning,3,515
full_natural,scanning,4,503
full_natural,scanning,5,489
full_natural,scanning,6,478
full_natural,scanning,7,514
full_natural,scanning,8,490
full_natural,scanning,9,496
full_natural,xss,0,1026
full_natural,xss,1,1061
full_natural,xss,2,1006
full_natural,xss,3,1069
full_natural,xss,4,1041
full_natural,xss,5,989
full_natural,xss,6,1014
full_natural,xss,7,1010
full_natural,xss,8,1037
full_natural,xss,9,1047
early_legacy,backdoor,0,636
early_legacy,backdoor,1,633
early_legacy,backdoor,2,653
early_legacy,backdoor,3,586
early_legacy,backdoor,4,636
early_legacy,benign,0,15089
early_legacy,benign,1,14743
early_legacy,benign,2,15068
early_legacy,benign,3,15058
early_legacy,benign,4,15042
early_legacy,ddos,0,677
early_legacy,ddos,1,570
early_legacy,ddos,2,609
early_legacy,ddos,3,649
early_legacy,ddos,4,639
early_legacy,dos,0,626
early_legacy,dos,1,659
early_legacy,dos,2,652
early_legacy,dos,3,563
early_legacy,dos,4,644
early_legacy,injection,0,624
early_legacy,injection,1,632
early_legacy,injection,2,650
early_legacy,injection,3,628
early_legacy,injection,4,610
early_legacy,mitm,0,361
early_legacy,mitm,1,361
early_legacy,mitm,2,359
early_legacy,mitm,3,361
early_legacy,mitm,4,360
early_legacy,mitm,5,1
early_legacy,password,0,615
early_legacy,password,1,602
early_legacy,password,2,608
early_legacy,password,3,637
early_legacy,password,4,682
early_legacy,ransomware,0,239
early_legacy,ransomware,1,238
early_legacy,ransomware,2,238
early_legacy,ransomware,3,238
early_legacy,ransomware,4,238
early_legacy,scanning,0,588
early_legacy,scanning,1,616
early_legacy,scanning,2,624
early_legacy,scanning,3,695
early_legacy,scanning,4,619
early_legacy,scanning,5,1
early_legacy,xss,0,612
early_legacy,xss,1,641
early_legacy,xss,2,680
early_legacy,xss,3,610
early_legacy,xss,4,600
full_legacy,backdoor,0,305
full_legacy,backdoor,1,321
full_legacy,backdoor,2,304
full_legacy,backdoor,3,308
full_legacy,backdoor,4,318
full_legacy,backdoor,5,316
full_legacy,backdoor,6,346
full_legacy,backdoor,7,315
full_legacy,backdoor,8,298
full_legacy,backdoor,9,313
full_legacy,benign,0,7616
full_legacy,benign,1,7391
full_legacy,benign,2,7433
full_legacy,benign,3,7618
full_legacy,benign,4,7609
full_legacy,benign,5,7241
full_legacy,benign,6,7533
full_legacy,benign,7,7576
full_legacy,benign,8,7551
full_legacy,benign,9,7432
full_legacy,ddos,0,319
full_legacy,ddos,1,297
full_legacy,ddos,2,331
full_legacy,ddos,3,302
full_legacy,ddos,4,310
full_legacy,ddos,5,336
full_legacy,ddos,6,329
full_legacy,ddos,7,300
full_legacy,ddos,8,323
full_legacy,ddos,9,297
full_legacy,dos,0,318
full_legacy,dos,1,330
full_legacy,dos,2,322
full_legacy,dos,3,296
full_legacy,dos,4,315
full_legacy,dos,5,299
full_legacy,dos,6,306
full_legacy,dos,7,294
full_legacy,dos,8,332
full_legacy,dos,9,332
full_legacy,injection,0,265
full_legacy,injection,1,299
full_legacy,injection,2,307
full_legacy,injection,3,338
full_legacy,injection,4,312
full_legacy,injection,5,326
full_legacy,injection,6,308
full_legacy,injection,7,327
full_legacy,injection,8,335
full_legacy,injection,9,327
full_legacy,mitm,0,182
full_legacy,mitm,1,178
full_legacy,mitm,2,182
full_legacy,mitm,3,176
full_legacy,mitm,4,172
full_legacy,mitm,5,197
full_legacy,mitm,6,172
full_legacy,mitm,7,190
full_legacy,mitm,8,173
full_legacy,mitm,9,181
full_legacy,password,0,309
full_legacy,password,1,302
full_legacy,password,2,314
full_legacy,password,3,295
full_legacy,password,4,317
full_legacy,password,5,312
full_legacy,password,6,316
full_legacy,password,7,307
full_legacy,password,8,330
full_legacy,password,9,342
full_legacy,ransomware,0,122
full_legacy,ransomware,1,106
full_legacy,ransomware,2,116
full_legacy,ransomware,3,108
full_legacy,ransomware,4,127
full_legacy,ransomware,5,110
full_legacy,ransomware,6,138
full_legacy,ransomware,7,122
full_legacy,ransomware,8,120
full_legacy,ransomware,9,122
full_legacy,scanning,0,296
full_legacy,scanning,1,304
full_legacy,scanning,2,317
full_legacy,scanning,3,335
full_legacy,scanning,4,319
full_legacy,scanning,5,301
full_legacy,scanning,6,310
full_legacy,scanning,7,334
full_legacy,scanning,8,313
full_legacy,scanning,9,314
full_legacy,xss,0,313
full_legacy,xss,1,319
full_legacy,xss,2,295
full_legacy,xss,3,344
full_legacy,xss,4,322
full_legacy,xss,5,303
full_legacy,xss,6,316
full_legacy,xss,7,296
full_legacy,xss,8,321
full_legacy,xss,9,314
