stage,class,rows,global_errors,bank_correctable,taken,helpful,harmful,changed,correctable_recovery,split
post_only,ransomware,709,61,37,588,0,0,3,0.0,eval
post_only,scanning,6029,5577,5010,5791,3909,0,3919,0.7802395209580838,eval
post_only,xss,343854,36571,36443,299074,29377,4,31774,0.8061081689213292,eval
both_gates_recomputed,backdoor,40030,34,24,36808,8,0,8,0.3333333333333333,eval
both_gates_recomputed,benign,1474302,201747,23715,30159,0,8621,12845,0.0,eval
both_gates_recomputed,ddos,103338,4424,3155,84961,969,0,1061,0.3071315372424723,eval
both_gates_recomputed,dos,22458,399,353,14168,13,75,258,0.036827195467422094,eval
both_gates_recomputed,injection,68891,2682,2548,9936,92,0,237,0.03610675039246468,eval
both_gates_recomputed,mitm,1161,99,93,2,2,0,2,0.021505376344086023,eval
both_gates_recomputed,password,210951,587,377,28584,1,0,3,0.002652519893899204,eval
both_gates_recomputed,ransomware,709,61,37,3,0,0,3,0.0,eval
both_gates_recomputed,scanning,6029,5577,5010,5706,3861,0,3862,0.7706586826347306,eval
both_gates_recomputed,xss,343854,36571,36443,61378,27838,0,29245,0.7638778366215734,eval
native_final_policy,backdoor,40030,34,24,36808,8,0,8,0.3333333333333333,eval
native_final_policy,benign,1474302,201747,23715,30168,0,8629,12853,0.0,eval
native_final_policy,ddos,103338,4424,3155,84963,969,0,1061,0.3071315372424723,eval
native_final_policy,dos,22458,399,353,14168,13,75,258,0.036827195467422094,eval
native_final_policy,injection,68891,2682,2548,9935,92,0,236,0.03610675039246468,eval
native_final_policy,mitm,1161,99,93,2,2,0,2,0.021505376344086023,eval
native_final_policy,password,210951,587,377,28584,1,0,3,0.002652519893899204,eval
native_final_policy,ransomware,709,61,37,3,0,0,3,0.0,eval
native_final_policy,scanning,6029,5577,5010,5706,3863,0,3864,0.7710578842315369,eval
native_final_policy,xss,343854,36571,36443,61378,27838,0,29245,0.7638778366215734,eval
