index,class_id,class,family,split_role,pca1,pca2
246275,9,normal,Normal,Known_Source,-2.3963954,-0.121703625
256700,9,normal,Normal,Known_Source,1.9840049,0.6728435
258640,9,normal,Normal,Known_Source,-2.1340933,-0.20909345
259346,9,normal,Normal,Known_Source,-2.322057,-0.22909728
260959,9,normal,Normal,Known_Source,-2.252095,-0.54608625
265447,9,normal,Normal,Known_Source,0.74648386,0.699474
267268,9,normal,Normal,Known_Source,-2.3674533,-0.2970215
268544,9,normal,Normal,Known_Source,-2.2861516,-0.11269413
269140,9,normal,Normal,Known_Source,-2.4292035,-0.55048394
270939,9,normal,Normal,Known_Source,-2.360017,-0.31034076
272321,9,normal,Normal,Known_Source,1.2567446,-0.28560996
280714,9,normal,Normal,Known_Source,4.8637896,0.15682375
281771,9,normal,Normal,Known_Source,-2.383811,-0.19009927
286376,9,normal,Normal,Known_Source,1.623594,0.2291766
288244,9,normal,Normal,Known_Source,-2.344074,-0.13835043
291232,9,normal,Normal,Known_Source,-2.3827736,-0.28163403
296865,9,normal,Normal,Known_Source,-2.3637807,-0.31033042
297231,9,normal,Normal,Known_Source,-2.4523482,-0.48039842
297991,9,normal,Normal,Known_Source,-2.370746,-0.29480234
300739,9,normal,Normal,Known_Source,-2.3712664,-0.20120606
301032,9,normal,Normal,Known_Source,-2.4973986,-0.4691908
301108,9,normal,Normal,Known_Source,-1.0067526,0.8814775
302789,9,normal,Normal,Known_Source,-0.7239401,2.050944
302958,9,normal,Normal,Known_Source,-2.3374586,-0.2025936
303282,9,normal,Normal,Known_Source,-2.417192,-0.5637632
307898,9,normal,Normal,Known_Source,-2.3610928,-0.18173993
308314,9,normal,Normal,Known_Source,0.46007583,5.953813
310958,9,normal,Normal,Known_Source,-2.2995362,-0.21398515
312954,9,normal,Normal,Known_Source,-2.3061347,-0.043958068
314091,9,normal,Normal,Known_Source,-0.06982979,0.36602366
317490,9,normal,Normal,Known_Source,-1.934604,0.9109795
317855,9,normal,Normal,Known_Source,-2.758369,-0.5636346
318724,9,normal,Normal,Known_Source,-2.2665207,-0.72135526
320096,9,normal,Normal,Known_Source,-2.7686837,-0.60598224
320984,9,normal,Normal,Known_Source,2.4975462,2.1507795
323611,9,normal,Normal,Known_Source,-2.0085537,0.54658437
325381,9,normal,Normal,Known_Source,-2.3522942,-0.18686795
329528,9,normal,Normal,Known_Source,-2.3925583,-0.2678409
332251,9,normal,Normal,Known_Source,-2.2483277,-0.16401982
332572,9,normal,Normal,Known_Source,0.13566129,1.5062603
342549,9,normal,Normal,Known_Source,-2.3568761,-0.26083004
347281,9,normal,Normal,Known_Source,-2.3697116,-0.23344624
350992,9,normal,Normal,Known_Source,-3.0394118,-0.6239685
351353,9,normal,Normal,Known_Source,-2.3385699,-0.18156046
355468,9,normal,Normal,Known_Source,-2.7855499,-0.61211205
358429,9,normal,Normal,Known_Source,-2.3220174,-0.15734343
359612,9,normal,Normal,Known_Source,-2.3816302,-0.20435256
360346,9,normal,Normal,Known_Source,-2.5644903,-0.53329885
361102,9,normal,Normal,Known_Source,-2.4887395,-0.51957965
368617,9,normal,Normal,Known_Source,-2.369757,-0.23935518
370487,9,normal,Normal,Known_Source,-2.4150734,-0.113791585
370863,9,normal,Normal,Known_Source,-2.3925753,-0.21003348
371528,9,normal,Normal,Known_Source,-2.2940857,-0.19092503
372229,9,normal,Normal,Known_Source,-2.800078,-0.61604136
373455,9,normal,Normal,Known_Source,-2.349077,-0.26297805
374946,9,normal,Normal,Known_Source,-2.7066576,-0.54328555
379158,9,normal,Normal,Known_Source,-2.7932556,-0.6164
384817,9,normal,Normal,Known_Source,-2.4840598,-0.5818068
384947,9,normal,Normal,Known_Source,-2.3913972,-0.2560408
386611,9,normal,Normal,Known_Source,-2.3117507,-0.21160923
387406,9,normal,Normal,Known_Source,-1.6552241,-0.5422778
395698,9,normal,Normal,Known_Source,-2.484039,-0.5818146
397874,9,normal,Normal,Known_Source,-2.3581529,-0.21535268
398209,9,normal,Normal,Known_Source,-2.702815,-0.542302
399294,9,normal,Normal,Known_Source,-2.3071432,-0.16698474
400717,9,normal,Normal,Known_Source,-2.381281,-0.21952781
402177,9,normal,Normal,Known_Source,-2.776542,-0.57443136
403540,9,normal,Normal,Known_Source,-2.3979316,-0.1922027
408788,9,normal,Normal,Known_Source,-2.321741,-0.15446877
409140,9,normal,Normal,Known_Source,-2.3802707,-0.20225409
409348,9,normal,Normal,Known_Source,-2.760336,-0.5537533
409590,9,normal,Normal,Known_Source,-2.3904614,-0.29477942
412040,9,normal,Normal,Known_Source,-2.3444097,-0.1474492
415207,9,normal,Normal,Known_Source,-2.4462905,0.024023639
415232,9,normal,Normal,Known_Source,-2.3283691,-0.17147675
415521,9,normal,Normal,Known_Source,-2.3400002,-0.1455645
417736,9,normal,Normal,Known_Source,-1.9511801,-0.5138088
419679,9,normal,Normal,Known_Source,-2.7573993,-0.56540275
419724,9,normal,Normal,Known_Source,-2.7611268,-0.5834913
421330,9,normal,Normal,Known_Source,-2.3502853,-0.13762565
421473,9,normal,Normal,Known_Source,-2.3753812,-0.22587307
424776,9,normal,Normal,Known_Source,-2.342023,-0.24426717
429148,9,normal,Normal,Known_Source,-2.3549683,-0.23045623
434696,9,normal,Normal,Known_Source,-2.4957108,-0.5231896
438514,9,normal,Normal,Known_Source,-2.3586526,-0.22887719
440557,9,normal,Normal,Known_Source,-2.6583858,-0.44629544
441542,9,normal,Normal,Known_Source,-2.2558424,-0.15220207
443012,9,normal,Normal,Known_Source,-2.6602013,-0.44694406
447843,9,normal,Normal,Known_Source,-2.4254003,-0.18520558
449971,9,normal,Normal,Known_Source,-2.34789,-0.23428312
450215,9,normal,Normal,Known_Source,-2.354664,-0.22620645
451895,9,normal,Normal,Known_Source,-2.2850063,-0.20981462
460930,9,normal,Normal,Known_Source,-2.3041344,-0.18364324
461050,9,normal,Normal,Known_Source,-2.354809,-0.23558049
461579,9,normal,Normal,Known_Source,-2.6484964,-0.5314664
463422,9,normal,Normal,Known_Source,-2.3925755,-0.21003348
464753,9,normal,Normal,Known_Source,-2.4857388,-0.5804001
465016,9,normal,Normal,Known_Source,-2.303051,-0.21006349
465038,9,normal,Normal,Known_Source,-2.314062,-0.20458627
465298,9,normal,Normal,Known_Source,-2.383586,-0.2083514
466154,9,normal,Normal,Known_Source,-2.367327,-0.23407012
466731,9,normal,Normal,Known_Source,-2.344983,-0.15780503
470892,9,normal,Normal,Known_Source,-2.358647,-0.26494417
471920,9,normal,Normal,Known_Source,-2.389747,-0.20950267
472587,9,normal,Normal,Known_Source,-1.631645,-0.34793055
472674,9,normal,Normal,Known_Source,-2.3668551,-0.11143491
473216,9,normal,Normal,Known_Source,-2.3586118,-0.26243505
474298,9,normal,Normal,Known_Source,-2.768188,-0.6165111
474653,9,normal,Normal,Known_Source,-2.3426828,-0.14445192
478478,9,normal,Normal,Known_Source,-2.3487945,-0.23664355
483894,9,normal,Normal,Known_Source,-2.4163015,-0.24454126
484559,9,normal,Normal,Known_Source,-2.4557238,-0.9729156
485070,9,normal,Normal,Known_Source,-2.372088,-0.2387307
486185,9,normal,Normal,Known_Source,-2.7241497,-0.60835737
486444,9,normal,Normal,Known_Source,-2.3477995,-0.23785187
487339,9,normal,Normal,Known_Source,-2.6996107,-0.54099214
487532,9,normal,Normal,Known_Source,-2.3507922,-0.26457843
495236,9,normal,Normal,Known_Source,-2.2983677,-0.186666
497244,9,normal,Normal,Known_Source,-1.6245443,-0.3461078
497946,9,normal,Normal,Known_Source,-2.3121264,-0.17657156
501404,9,normal,Normal,Known_Source,-2.412944,-0.14644721
504864,9,normal,Normal,Known_Source,-2.2693415,-0.14411229
506146,9,normal,Normal,Known_Source,-2.9659476,-0.62541604
508417,9,normal,Normal,Known_Source,-2.324663,-0.17663583
512783,9,normal,Normal,Known_Source,-2.3654835,-0.22546059
514075,9,normal,Normal,Known_Source,-2.48331,-0.5806274
517088,9,normal,Normal,Known_Source,-2.3841083,-0.2959772
518340,9,normal,Normal,Known_Source,-1.6485966,-0.3841611
519618,9,normal,Normal,Known_Source,-2.370969,-0.24154834
523950,9,normal,Normal,Known_Source,-2.6553664,-0.48895416
525325,9,normal,Normal,Known_Source,-1.6348795,-0.38154557
526028,9,normal,Normal,Known_Source,-2.8944829,-0.5139347
528044,9,normal,Normal,Known_Source,-2.2102091,-0.15572608
528362,9,normal,Normal,Known_Source,-2.3822997,-0.23164141
529372,9,normal,Normal,Known_Source,-2.9545562,-0.6255667
531839,9,normal,Normal,Known_Source,5.579238,-4.614477
533194,9,normal,Normal,Known_Source,-2.3396823,-0.20626828
535114,9,normal,Normal,Known_Source,3.4732285,-0.23403698
536686,9,normal,Normal,Known_Source,-2.2005804,-0.4209471
538834,9,normal,Normal,Known_Source,-2.7499752,-0.6042007
540819,6,ftp-patator,Credential,Known_Source,-2.517485,-0.5868325
540822,6,ftp-patator,Credential,Known_Source,-2.255349,-0.9718093
540825,6,ftp-patator,Credential,Known_Source,-2.2571065,-0.9722431
540826,6,ftp-patator,Credential,Known_Source,-2.25472,-0.971655
540829,6,ftp-patator,Credential,Known_Source,-1.978201,0.2944935
541063,6,ftp-patator,Credential,Known_Source,-2.2713425,-0.9962227
541068,6,ftp-patator,Credential,Known_Source,-2.2685719,-0.9952658
541203,6,ftp-patator,Credential,Known_Source,-1.9437836,0.4697673
541246,6,ftp-patator,Credential,Known_Source,-2.268572,-0.9952657
541362,6,ftp-patator,Credential,Known_Source,-2.2538757,-0.97144777
541384,6,ftp-patator,Credential,Known_Source,-1.9044486,0.45777008
541386,6,ftp-patator,Credential,Known_Source,-2.268572,-0.9952657
541387,6,ftp-patator,Credential,Known_Source,-2.2558672,-0.971937
541680,6,ftp-patator,Credential,Known_Source,-1.9319335,0.4661168
541698,6,ftp-patator,Credential,Known_Source,-1.9262304,0.4639582
541788,6,ftp-patator,Credential,Known_Source,-1.8888016,0.450111
541789,6,ftp-patator,Credential,Known_Source,-2.2541676,-0.9715192
542319,6,ftp-patator,Credential,Known_Source,-2.2557085,-0.9718974
542349,6,ftp-patator,Credential,Known_Source,-2.2551272,-0.9717547
542565,9,normal,Normal,Known_Source,11.090735,-7.5793004
542673,6,ftp-patator,Credential,Known_Source,-2.256461,-0.9720839
542674,6,ftp-patator,Credential,Known_Source,-2.2879655,-1.001965
542700,6,ftp-patator,Credential,Known_Source,-1.9051995,0.45557663
542702,6,ftp-patator,Credential,Known_Source,-1.9132841,0.4589012
542711,6,ftp-patator,Credential,Known_Source,-1.9477487,0.47048345
542717,6,ftp-patator,Credential,Known_Source,-2.2689846,-0.99540824
542767,6,ftp-patator,Credential,Known_Source,-1.9569823,0.4763127
542768,6,ftp-patator,Credential,Known_Source,-1.9580488,0.47254813
542782,6,ftp-patator,Credential,Known_Source,-1.9206959,0.45955926
542783,6,ftp-patator,Credential,Known_Source,-2.254893,-0.9716969
542785,6,ftp-patator,Credential,Known_Source,-1.9200695,0.46047744
542794,6,ftp-patator,Credential,Known_Source,-2.2555237,-0.9718526
542799,6,ftp-patator,Credential,Known_Source,-2.2515843,-0.9708909
542908,6,ftp-patator,Credential,Known_Source,-1.9183463,0.45871386
542911,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957689
543062,9,normal,Normal,Known_Source,-1.397702,1.1921625
543106,6,ftp-patator,Credential,Known_Source,-2.481888,-1.0689676
543110,6,ftp-patator,Credential,Known_Source,-1.9025592,0.45276883
543191,6,ftp-patator,Credential,Known_Source,-2.255707,-0.9718979
543229,6,ftp-patator,Credential,Known_Source,-1.9399862,0.46800393
543341,6,ftp-patator,Credential,Known_Source,-2.2562437,-0.97202915
543397,6,ftp-patator,Credential,Known_Source,-1.9601825,0.479144
543398,6,ftp-patator,Credential,Known_Source,-1.959644,0.47948325
543402,6,ftp-patator,Credential,Known_Source,-1.9100183,0.45799536
543409,6,ftp-patator,Credential,Known_Source,-2.2555544,-0.9718598
543438,6,ftp-patator,Credential,Known_Source,-1.9659861,0.47789133
543453,6,ftp-patator,Credential,Known_Source,-2.255966,-0.97196156
543454,6,ftp-patator,Credential,Known_Source,-1.9246477,0.46349528
543493,6,ftp-patator,Credential,Known_Source,-1.9339232,0.46626946
543494,6,ftp-patator,Credential,Known_Source,-1.9335229,0.46649203
543496,6,ftp-patator,Credential,Known_Source,-1.9035114,0.4652095
543497,6,ftp-patator,Credential,Known_Source,-2.2561722,-0.97201186
543501,6,ftp-patator,Credential,Known_Source,-1.9430163,0.47023126
543545,6,ftp-patator,Credential,Known_Source,-1.947007,0.47416785
543548,6,ftp-patator,Credential,Known_Source,-2.2561712,-0.9720121
543551,6,ftp-patator,Credential,Known_Source,-2.2551272,-0.9717547
543552,6,ftp-patator,Credential,Known_Source,-1.9565388,0.47683463
543555,6,ftp-patator,Credential,Known_Source,-2.2559676,-0.971961
543622,6,ftp-patator,Credential,Known_Source,-2.2571962,-0.97226405
543662,6,ftp-patator,Credential,Known_Source,-1.9713048,0.48112038
543734,6,ftp-patator,Credential,Known_Source,-2.257421,-0.97232026
543737,6,ftp-patator,Credential,Known_Source,-2.2573307,-0.97229725
543740,6,ftp-patator,Credential,Known_Source,-1.91843,0.46016663
543799,6,ftp-patator,Credential,Known_Source,-1.9163027,0.4621553
543808,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957688
543983,6,ftp-patator,Credential,Known_Source,-2.481888,-1.0689675
543992,6,ftp-patator,Credential,Known_Source,-1.9362478,0.46663347
544039,6,ftp-patator,Credential,Known_Source,-1.9484562,0.47166255
544148,6,ftp-patator,Credential,Known_Source,-2.2628672,-0.9932959
544149,6,ftp-patator,Credential,Known_Source,-3.1800048,-1.3101797
544183,6,ftp-patator,Credential,Known_Source,-1.9242011,0.46328786
544186,6,ftp-patator,Credential,Known_Source,-1.9191931,0.45893255
544200,6,ftp-patator,Credential,Known_Source,-2.2557702,-0.9719134
544201,6,ftp-patator,Credential,Known_Source,-1.9218105,0.46099055
544232,6,ftp-patator,Credential,Known_Source,-2.2577076,-0.9723907
544243,6,ftp-patator,Credential,Known_Source,-2.2559347,-0.97195286
544247,6,ftp-patator,Credential,Known_Source,-2.2559674,-0.9719611
544284,6,ftp-patator,Credential,Known_Source,-2.256137,-0.9720033
544304,6,ftp-patator,Credential,Known_Source,-1.9296792,0.46411097
544315,6,ftp-patator,Credential,Known_Source,-2.2549694,-0.97171587
544334,6,ftp-patator,Credential,Known_Source,-1.9058608,0.45435885
544356,6,ftp-patator,Credential,Known_Source,-1.8955477,0.4514778
544359,6,ftp-patator,Credential,Known_Source,-2.256243,-0.97202927
544362,6,ftp-patator,Credential,Known_Source,-2.256462,-0.9720836
544364,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957689
544423,6,ftp-patator,Credential,Known_Source,-2.2561727,-0.9720116
544429,6,ftp-patator,Credential,Known_Source,-2.481888,-1.0689675
544443,6,ftp-patator,Credential,Known_Source,-1.9480251,0.46949074
544461,6,ftp-patator,Credential,Known_Source,-2.2559,-0.9719451
544510,6,ftp-patator,Credential,Known_Source,-1.9060817,0.45506215
544516,6,ftp-patator,Credential,Known_Source,-2.481888,-1.0689675
544583,6,ftp-patator,Credential,Known_Source,-2.2563517,-0.9720559
544589,6,ftp-patator,Credential,Known_Source,-1.927066,0.46380237
544636,6,ftp-patator,Credential,Known_Source,-1.9269978,0.46375087
544667,6,ftp-patator,Credential,Known_Source,-1.9316107,0.46550956
544671,6,ftp-patator,Credential,Known_Source,-1.9343183,0.46545586
544702,6,ftp-patator,Credential,Known_Source,-2.2549946,-0.9717225
544708,6,ftp-patator,Credential,Known_Source,-2.257022,-0.97222155
544709,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957688
544728,6,ftp-patator,Credential,Known_Source,-1.9243711,0.46451628
544747,6,ftp-patator,Credential,Known_Source,-2.2574682,-0.97233146
544750,6,ftp-patator,Credential,Known_Source,-1.9158715,0.46075368
544764,6,ftp-patator,Credential,Known_Source,-2.255836,-0.9719288
544780,6,ftp-patator,Credential,Known_Source,-1.9023567,0.45449314
544821,6,ftp-patator,Credential,Known_Source,-2.268176,-0.99512905
544835,6,ftp-patator,Credential,Known_Source,-1.8979994,0.45371875
544862,6,ftp-patator,Credential,Known_Source,-1.9142984,0.4570777
544865,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957689
544888,6,ftp-patator,Credential,Known_Source,-3.1800048,-1.3101797
544901,6,ftp-patator,Credential,Known_Source,-1.9510751,0.47260982
544924,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957688
544925,6,ftp-patator,Credential,Known_Source,-1.9051571,0.45419818
544927,6,ftp-patator,Credential,Known_Source,-2.2550747,-0.9717414
544955,6,ftp-patator,Credential,Known_Source,-2.2554657,-0.9718377
544966,6,ftp-patator,Credential,Known_Source,-1.893859,0.45269898
544975,6,ftp-patator,Credential,Known_Source,-2.481888,-1.0689676
545005,6,ftp-patator,Credential,Known_Source,-1.8989736,0.45184624
545015,6,ftp-patator,Credential,Known_Source,-1.9092263,0.4567273
545021,6,ftp-patator,Credential,Known_Source,-1.8979987,0.45613688
545026,9,normal,Normal,Known_Source,2.6244326,1.6143335
545073,6,ftp-patator,Credential,Known_Source,-2.2536085,-0.971383
545078,6,ftp-patator,Credential,Known_Source,-1.9291809,0.46607658
545087,6,ftp-patator,Credential,Known_Source,-2.268176,-0.99512905
545097,6,ftp-patator,Credential,Known_Source,-2.257022,-0.97222155
545110,6,ftp-patator,Credential,Known_Source,-2.2566547,-0.9721307
545129,6,ftp-patator,Credential,Known_Source,-1.9225632,0.46337926
545203,6,ftp-patator,Credential,Known_Source,-1.9332521,0.4649208
545259,6,ftp-patator,Credential,Known_Source,-2.2542508,-0.9715391
545271,6,ftp-patator,Credential,Known_Source,-2.2967095,-0.92188174
545272,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957689
545356,6,ftp-patator,Credential,Known_Source,-1.9153554,0.4626262
545463,6,ftp-patator,Credential,Known_Source,-2.2565374,-0.9721024
545601,6,ftp-patator,Credential,Known_Source,-1.9347752,0.4680396
545705,6,ftp-patator,Credential,Known_Source,-1.9159653,0.4583204
545772,6,ftp-patator,Credential,Known_Source,-2.255868,-0.9719369
545775,6,ftp-patator,Credential,Known_Source,-1.9148821,0.45891267
545792,6,ftp-patator,Credential,Known_Source,-2.2549427,-0.9717098
545915,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957688
545916,6,ftp-patator,Credential,Known_Source,-1.929111,0.4633754
546067,6,ftp-patator,Credential,Known_Source,-1.9333025,0.46631804
546071,6,ftp-patator,Credential,Known_Source,-2.2561731,-0.97201157
546076,6,ftp-patator,Credential,Known_Source,-1.9018602,0.45421946
546084,6,ftp-patator,Credential,Known_Source,-2.2558665,-0.9719373
546166,6,ftp-patator,Credential,Known_Source,-1.9234346,0.46169755
546218,6,ftp-patator,Credential,Known_Source,-2.2568543,-0.97218055
546279,6,ftp-patator,Credential,Known_Source,-2.257152,-0.97225326
546286,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957688
546406,6,ftp-patator,Credential,Known_Source,-1.9273816,0.4645322
546407,6,ftp-patator,Credential,Known_Source,-1.9238421,0.46879137
546437,6,ftp-patator,Credential,Known_Source,-2.2565768,-0.97211164
546438,6,ftp-patator,Credential,Known_Source,-2.265801,-0.9943089
546440,6,ftp-patator,Credential,Known_Source,-1.9324943,0.46623394
546441,6,ftp-patator,Credential,Known_Source,-1.9322413,0.46667132
546462,6,ftp-patator,Credential,Known_Source,-1.9192249,0.46152213
546486,6,ftp-patator,Credential,Known_Source,-2.2566931,-0.97214067
546519,6,ftp-patator,Credential,Known_Source,-1.9235114,0.46224043
546566,6,ftp-patator,Credential,Known_Source,-2.5594566,-1.0957689
546570,6,ftp-patator,Credential,Known_Source,-1.9355006,0.46944025
546572,6,ftp-patator,Credential,Known_Source,-1.9313993,0.4679317
